Abad, Ana	1949	1	0
Barrio, Luis	1940	1	2
Bono, Mara	1938	0	0
Cerro, Mara	1980	1	2
Diaz, Pepe	1970	1	0
Font, Alvaro	1948	0	1
Garcia, Elsa	1990	1	0
Gomez, Lola	2002	1	0
Illa, Salvador	1960	1	0
Juarez, Marta	1970	1	0
Kent, Victoria	1930	0	2
Lopez, Ivan	1985	1	0
Martin, Juan	1930	0	2
Navas, Noa	1985	1	0
Ortiz, Pedro	1971	1	0
Perez, Marta	1985	0	2
Quirante, Juan	1980	1	0
Ruiz, Luci	1985	1	0
Santos, Eufimio	1945	1	2
Segura, Isabel	1975	0	2
Torres, Pedro	1972	1	0
Zapatero, Jose	2000	1	1
Zar, Zoe	2000	1	0
